destroy protection off:
| 0 | 1.05 | 1.05 | 1.00 | 1.00 |
| 1 | 1.11 | 1.11 | 1.06 | 1.06 |
| 2 | 1.18 | 1.18 | 1.12 | 1.12 |
| 3 | 1.18 | 1.18 | 1.12 | 1.12 |
| 4 | 1.25 | 1.25 | 1.19 | 1.19 |
| 5 | 1.33 | 1.33 | 1.27 | 1.27 |
| 6 | 1.43 | 1.43 | 1.36 | 1.36 |
| 7 | 1.54 | 1.54 | 1.47 | 1.47 |
| 8 | 1.67 | 1.67 | 1.59 | 1.59 |
| 9 | 1.82 | 1.82 | 1.73 | 1.73 |
| 10 | 2.00 | 4.00 | 1.90 | 3.81 |
| 11 | 4.67 | 9.33 | 4.24 | 8.49 |
| 12 | 8.61 | 17.23 | 7.53 | 15.06 |
| 13 | 15.48 | 30.97 | 13.00 | 26.00 |
| 14 | 31.47 | 62.94 | 25.25 | 50.49 |
| 15 | 7.22 | 17.78 | 6.16 | 15.50 |
| 16 | 24.08 | 59.27 | 19.56 | 49.20 |
| 17 | 54.34 | 134.60 | 41.86 | 105.97 |
| 18 | 109.57 | 271.31 | 79.44 | 201.00 |
| 19 | 211.15 | 522.34 | 143.49 | 362.64 |
| 20 | 111.12 | 273.83 | 76.30 | 192.29 |
| 21 | 370.40 | 912.78 | 242.24 | 610.44 |
| 22 | 13920.80 | 34239.54 | 8874.74 | 22301.33 |
| 23 | 688052.14 | 1692128.18 | 418011.91 | 1050236.02 |
| 24 | 68148164.17 | 167596492.88 | 39413962.95 | 99025394.05 |

| 0 -> 2 | 2.16 | 2.16 | 2.06 | 2.06 |
| 0 -> 3 | 3.34 | 3.34 | 3.18 | 3.18 |
| 0 -> 4 | 4.52 | 4.52 | 4.30 | 4.30 |
| 0 -> 5 | 5.77 | 5.77 | 5.49 | 5.49 |
| 0 -> 6 | 7.10 | 7.10 | 6.76 | 6.76 |
| 0 -> 7 | 8.53 | 8.53 | 8.12 | 8.12 |
| 0 -> 8 | 10.07 | 10.07 | 9.59 | 9.59 |
| 0 -> 9 | 11.73 | 11.73 | 11.17 | 11.17 |
| 0 -> 10 | 13.55 | 13.55 | 12.91 | 12.91 |
| 0 -> 11 | 15.55 | 17.55 | 14.81 | 16.72 |
| 0 -> 12 | 20.22 | 26.89 | 19.05 | 25.20 |
| 0 -> 13 | 28.83 | 44.11 | 26.58 | 40.26 |
